,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Gender,2087,2,Male,1052,,,,,,,
Age,2087.0,,,,24.353089797316724,6.368801443907884,14.0,19.9159375,22.847618,26.0,61.0
Height,2087.0,,,,1.7026741221849544,0.09318594231105748,1.45,1.6301785,1.701584,1.7694915,1.98
Weight,2087.0,,,,86.85872961427887,26.190847077225722,39.0,66.0,83.1011,108.015907,173.0
family_history_with_overweight,2087,2,yes,1722,,,,,,,
FAVC,2087,2,yes,1844,,,,,,,
FCVC,2087.0,,,,2.4214661729755633,0.5347365926503929,1.0,2.0,2.396265,3.0,3.0
NCP,2087.0,,,,2.701179114997604,0.7646144872341922,1.0,2.697467,3.0,3.0,4.0
CAEC,2087,4,Sometimes,1761,,,,,,,
SMOKE,2087,2,no,2043,,,,,,,
CH2O,2087.0,,,,2.004749436511739,0.608284367941191,1.0,1.5909215,2.0,2.4661925,3.0
SCC,2087,2,no,1991,,,,,,,
FAF,2087.0,,,,1.0128119003354095,0.8534746744566887,0.0,0.124505,1.0,1.678102,3.0
TUE,2087.0,,,,0.6630354408241496,0.608153282082986,0.0,0.0,0.630866,1.0,2.0
CALC,2087,4,Sometimes,1380,,,,,,,
MTRANS,2087,5,Public_Transportation,1558,,,,,,,
NObeyesdad,2087,7,Obesity_Type_I,351,,,,,,,
