,precision,recall,f1-score,support
Insufficient_Weight,0.9464285714285714,1.0,0.9724770642201835,53.0
Normal_Weight,0.9454545454545454,0.9122807017543859,0.9285714285714286,57.0
Obesity_Type_I,0.9571428571428572,0.9571428571428572,0.9571428571428572,70.0
Obesity_Type_II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.9607843137254902,0.8909090909090909,0.9245283018867925,55.0
Overweight_Level_II,0.9180327868852459,0.9655172413793104,0.9411764705882353,58.0
accuracy,0.9593301435406698,0.9593301435406698,0.9593301435406698,0.9593301435406698
macro avg,0.9587785188591085,0.958637896543004,0.9582685316592977,418.0
weighted avg,0.9597058749126616,0.9593301435406698,0.9591086219917346,418.0
