,precision,recall,f1-score,support
Insufficient_Weight,0.9464285714285714,1.0,0.9724770642201835,53.0
Normal_Weight,0.9454545454545454,0.9122807017543859,0.9285714285714286,57.0
Obesity_Type_I,0.9565217391304348,0.9428571428571428,0.9496402877697842,70.0
Obesity_Type_II,0.9375,1.0,0.967741935483871,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.8727272727272727,0.8727272727272727,0.8727272727272727,55.0
Overweight_Level_II,0.9090909090909091,0.8620689655172413,0.8849557522123894,58.0
accuracy,0.9401913875598086,0.9401913875598086,0.9401913875598086,0.9401913875598086
macro avg,0.9382461482616763,0.9392213524959182,0.9383374004286333,418.0
weighted avg,0.9401565020168099,0.9401913875598086,0.93979126737915,418.0
