,precision,recall,f1-score,support
Insufficient_Weight,1.0,0.9433962264150944,0.970873786407767,53.0
Normal_Weight,0.7681159420289855,0.9298245614035088,0.8412698412698413,57.0
Obesity_Type_I,1.0,0.9571428571428572,0.9781021897810219,70.0
Obesity_Type_II,1.0,1.0,1.0,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.92,0.8363636363636363,0.8761904761904762,55.0
Overweight_Level_II,0.9137931034482759,0.9137931034482759,0.9137931034482759,58.0
accuracy,0.9401913875598086,0.9401913875598086,0.9401913875598086,0.9401913875598086
macro avg,0.9431298636396087,0.9378765384841081,0.9389253513018408,418.0
weighted avg,0.9458914083628043,0.9401913875598086,0.9415369500912635,418.0
