,precision,recall,f1-score,support
Insufficient_Weight,0.9464285714285714,1.0,0.9724770642201835,53.0
Normal_Weight,0.9454545454545454,0.9122807017543859,0.9285714285714286,57.0
Obesity_Type_I,1.0,0.9857142857142858,0.9928057553956835,70.0
Obesity_Type_II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.9444444444444444,0.9272727272727272,0.9357798165137615,55.0
Overweight_Level_II,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0
accuracy,0.9712918660287081,0.9712918660287081,0.9712918660287081,0.9712918660287081
macro avg,0.9694336876599807,0.9703773885780625,0.9697109483236598,418.0
weighted avg,0.9714027740879797,0.9712918660287081,0.9711656109890648,418.0
