,precision,recall,f1-score,support
battery,0.0891089108910891,1.0,0.16363636363636364,9.0
biological,0.5,0.2222222222222222,0.3076923076923077,9.0
brown-glass,0.0,0.0,0.0,9.0
cardboard,0.0,0.0,0.0,9.0
clothes,0.0,0.0,0.0,9.0
green-glass,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
metal,0.0,0.0,0.0,9.0
paper,0.0,0.0,0.0,9.0
plastic,0.0,0.0,0.0,9.0
shoes,0.0,0.0,0.0,9.0
trash,0.0,0.0,0.0,9.0
white-glass,0.0,0.0,0.0,9.0
accuracy,0.12037037037037036,0.12037037037037036,0.12037037037037036,0.12037037037037036
macro avg,0.10464796479647964,0.12037037037037039,0.06705516705516705,108.0
weighted avg,0.10464796479647964,0.12037037037037036,0.06705516705516705,108.0
