,precision,recall,f1-score,support
battery,0.0,0.0,0.0,9.0
biological,0.0,0.0,0.0,9.0
brown-glass,0.0,0.0,0.0,9.0
cardboard,0.0,0.0,0.0,9.0
clothes,0.09523809523809523,0.4444444444444444,0.1568627450980392,9.0
green-glass,0.0,0.0,0.0,9.0
metal,0.0,0.0,0.0,9.0
paper,0.0,0.0,0.0,9.0
plastic,0.15384615384615385,0.8888888888888888,0.26229508196721313,9.0
shoes,0.0,0.0,0.0,9.0
trash,0.0,0.0,0.0,9.0
white-glass,0.0,0.0,0.0,9.0
accuracy,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
macro avg,0.020757020757020756,0.1111111111111111,0.03492981892210436,108.0
weighted avg,0.020757020757020756,0.1111111111111111,0.03492981892210436,108.0
