,precision,recall,f1-score,support
battery,0.5454545454545454,0.6666666666666666,0.6,9.0
biological,0.75,0.6666666666666666,0.7058823529411765,9.0
brown-glass,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
cardboard,0.38461538461538464,0.5555555555555556,0.45454545454545453,9.0
clothes,0.9,1.0,0.9473684210526315,9.0
green-glass,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
metal,0.375,0.3333333333333333,0.35294117647058826,9.0
paper,0.4,0.2222222222222222,0.2857142857142857,9.0
plastic,0.0,0.0,0.0,9.0
shoes,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
trash,0.4,0.4444444444444444,0.42105263157894735,9.0
white-glass,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
accuracy,0.5092592592592593,0.5092592592592593,0.5092592592592593,0.5092592592592593
macro avg,0.4953604266104266,0.5092592592592593,0.48454133149919926,108.0
weighted avg,0.49536042661042656,0.5092592592592593,0.4845413314991993,108.0
