,precision,recall,f1-score,support
Drama,0.5180487804878049,0.9672131147540983,0.6747141041931385,549.0
Comedy,0.6595289079229122,0.6799116997792495,0.6695652173913044,453.0
Action,0.41304347826086957,0.0945273631840796,0.15384615384615385,201.0
Romance,0.38095238095238093,0.125,0.18823529411764706,192.0
Crime,0.16666666666666666,0.00546448087431694,0.010582010582010581,183.0
Thriller,0.0,0.0,0.0,138.0
Adventure,0.0,0.0,0.0,121.0
Documentary,0.5,0.00980392156862745,0.019230769230769232,102.0
Horror,0.0,0.0,0.0,81.0
Fantasy,0.0,0.0,0.0,66.0
Mystery,0.0,0.0,0.0,66.0
Biography,0.0,0.0,0.0,72.0
Family,0.0,0.0,0.0,53.0
Sci-Fi,0.0,0.0,0.0,66.0
Music,0.0,0.0,0.0,38.0
Animation,0.0,0.0,0.0,35.0
History,0.0,0.0,0.0,30.0
Sport,0.0,0.0,0.0,43.0
War,0.0,0.0,0.0,23.0
micro avg,0.5487274984481688,0.3519108280254777,0.4288139704098957,2512.0
macro avg,0.1388547481205597,0.09904845158738798,0.0903249236505802,2512.0
weighted avg,0.32676750479704464,0.3519108280254777,0.29645437359554355,2512.0
samples avg,0.562058371735791,0.38755760368663594,0.4252227342549923,2512.0
