genre,roc_auc
Animation,0.8440816326530611
Comedy,0.7941221672674436
Horror,0.7688505238306035
Family,0.7647908439373994
Sci-Fi,0.7515835489338923
Mystery,0.7372944360186754
Thriller,0.7199547005800164
Fantasy,0.7087459481963898
Documentary,0.6895158877386154
Adventure,0.6809780185864681
Drama,0.6618240763396135
Action,0.6613707480696067
Romance,0.6558067375886525
Crime,0.6190917572364993
Sport,0.5960585635852342
History,0.5757977883096367
Biography,0.5662909948447954
War,0.5303774666339147
Music,0.5091238123963203
