,precision,recall,f1-score,support
Drama,0.5370370370370371,1.0,0.6987951807228916,145.0
Comedy,0.5833333333333334,0.5779816513761468,0.5806451612903226,109.0
Action,0.0,0.0,0.0,45.0
Romance,0.0,0.0,0.0,50.0
Crime,0.0,0.0,0.0,53.0
Thriller,0.0,0.0,0.0,33.0
Adventure,0.0,0.0,0.0,26.0
Documentary,0.0,0.0,0.0,21.0
Horror,0.0,0.0,0.0,24.0
Fantasy,0.0,0.0,0.0,14.0
Mystery,0.0,0.0,0.0,28.0
Biography,0.0,0.0,0.0,16.0
Family,0.0,0.0,0.0,11.0
Sci-Fi,0.0,0.0,0.0,24.0
Music,0.0,0.0,0.0,9.0
Animation,0.0,0.0,0.0,8.0
History,0.0,0.0,0.0,6.0
Sport,0.0,0.0,0.0,10.0
War,0.0,0.0,0.0,3.0
micro avg,0.5502645502645502,0.32755905511811023,0.4106614017769003,635.0
macro avg,0.05896686159844055,0.08305166586190245,0.06733896536911654,635.0
weighted avg,0.22276173811606886,0.32755905511811023,0.259237202811755,635.0
samples avg,0.5537037037037037,0.3648148148148148,0.4117283950617284,635.0
